txid,input_index,script_type,pubkey_hex,r,s,sighash_type,z,ecdsa_valid
005f68d60a4b419548fc68d5742c730aca0498952bfe9db6d2c12900b7a30b2c,0,P2SH,03a391eb2bc9513491570298899ca0f094323cc2a0624daeed47b4598ae29b04d3,dc0eeb176ce4d0969ea3ba9aaa177d8a82dba64c104ed88b407e9c165131426e,16a76972e39c80bdc5284853e9956a9b0a9de97fa017a0069fddd6c0b535e3ba,1,ddca6cf28c61f591b70542d91bc150e358d85a88aae23fd18dfefbf8bb9df686,true
005f68d60a4b419548fc68d5742c730aca0498952bfe9db6d2c12900b7a30b2c,0,P2SH,03c511b8fe3a5e60ad16bb14b0865f8a3f192ddb386c4f8d23f72edd24764e0e23,2e40608c637d5a8614a6e2f63016eba412271e76bcebd32d435293f0325eb9f3,23cea8cd89143237c1b448b04a90fd4f8d95f05dda0b8dc5600cad2377463875,1,ddca6cf28c61f591b70542d91bc150e358d85a88aae23fd18dfefbf8bb9df686,true
005f68d60a4b419548fc68d5742c730aca0498952bfe9db6d2c12900b7a30b2c,1,P2SH,03a391eb2bc9513491570298899ca0f094323cc2a0624daeed47b4598ae29b04d3,5b40ee0cce03e639e6395129d881994603a84f4346eef42781b4c912efadc9e0,39c4298360c3f7b8b8d904b935f2520210972d0a0e1d144c4e77dcd8a1c11dd6,1,952c44be7d9cd98480afad9da6c2c594d8f090924aeb53df42bd8de931b6de6c,true
005f68d60a4b419548fc68d5742c730aca0498952bfe9db6d2c12900b7a30b2c,1,P2SH,03c511b8fe3a5e60ad16bb14b0865f8a3f192ddb386c4f8d23f72edd24764e0e23,4e83f40ad668c0e7e243f9edd5fcdff70727ac48140cd68d685bed6d6f2604fb,4700a3aee91c9aa3d137824ad4cbf8cdce193ea263f64dc3b5437697a2265994,1,952c44be7d9cd98480afad9da6c2c594d8f090924aeb53df42bd8de931b6de6c,true
00669dbad129925e48cdeb5f81196d3b267d773e39975d1fd3c641692d52ece1,0,P2SH,03bbe671d87d8517f8d075d378c004161a75b79d89c4ec6eb40610a496e01c9a0f,2a32c6a33833233c2a087b7f46f46d0560e08d0987033d77b5e9592c66c8e634,5d96c3167891f349d5c5bf9081a5a9cf598d00ed34a501043c6d956cd80bf186,1,0cb5e3e7dd4365ad8ff4924fd96fdf20276012057fdc5245f2500d6bb49fdbc4,true
00669dbad129925e48cdeb5f81196d3b267d773e39975d1fd3c641692d52ece1,0,P2SH,03c511b8fe3a5e60ad16bb14b0865f8a3f192ddb386c4f8d23f72edd24764e0e23,284b4db4c38d8a282072b2065481cfd1a1db66c9165e85f0cbdec571441603b7,136c234a836231d282629cc34627abac6fee65cc2ef5f846b8f136e5fd1f1811,1,0cb5e3e7dd4365ad8ff4924fd96fdf20276012057fdc5245f2500d6bb49fdbc4,true
00669dbad129925e48cdeb5f81196d3b267d773e39975d1fd3c641692d52ece1,1,P2SH,03bbe671d87d8517f8d075d378c004161a75b79d89c4ec6eb40610a496e01c9a0f,ad4c24a39a8ba2146b0bb91f8cb950b76524980e16f539d449ad5fa62876cfb8,2aaba6f765022be693695d45976004870bf6108b1e390e0770180bc8c4718d2b,1,6216a50e90400314d2e034a2950cbaa0b83b929b48566d8cdbdd843a11ba7cda,true
00669dbad129925e48cdeb5f81196d3b267d773e39975d1fd3c641692d52ece1,1,P2SH,03c511b8fe3a5e60ad16bb14b0865f8a3f192ddb386c4f8d23f72edd24764e0e23,56349c1fdec117308b3976769ed48dca20edcd5b0375da8704972b101212e232,1605a8750ddb42c59a9c218d45c29b60bc1a0addc6bf189d4c6005a29e18f39f,1,6216a50e90400314d2e034a2950cbaa0b83b929b48566d8cdbdd843a11ba7cda,true
0067c09e06e8f527277825ff6242e6726cf31b7032a2487f8f8fc1058f4c702b,0,P2SH,03b9fb511944ea68e18c61ebf0c27c96cd851599d2e092a9190fe5e22e09f1a300,1581492f79813ef90084ea521e3d585f116b0f58da3659fbb0aea3f2633c6797,472faa1d4fab7dc2b164e5a710cd63ebd5dd4235e84d9fc295ddef8443a0e2a0,1,f56cf6bb7c37bc89199024aa839812187b0c2860a90c0ad2d82a0f37df1a5f65,true
0067c09e06e8f527277825ff6242e6726cf31b7032a2487f8f8fc1058f4c702b,0,P2SH,03c511b8fe3a5e60ad16bb14b0865f8a3f192ddb386c4f8d23f72edd24764e0e23,927689ad648b756788c4d868160d71cfc63a54e12d207f1104ae8a04191d6c7f,6bb7c242db9b737d0869fe02f8d500dda42b621f4677c2f281e26f5b33d57a1a,1,f56cf6bb7c37bc89199024aa839812187b0c2860a90c0ad2d82a0f37df1a5f65,true
