txid	vin	sig_index	prev_txid	prev_vout	r_hex	r_dec	s_hex	s_dec	sighash_byte	sighash_name	der_strict	low_s	pubkey	pubkey_h160	prevout_type	z_method	is_target_key	verify_openssl	verify_pure	verify_zalt	block_height	block_time
004420da4279f251aba16ac73a03af7a7020706fcb31a56eb9dcfb6e6284d3d9	0	0	b97c7a6196c9290bf9205df94777b7b5c25dc0d5e376c4c09830937ac0736abb	2	953931d953ffa71ac77ec7a305f7ef796149c5de33ae99a1af896351d74307de	67495668766324568934495086221703608800451329652037301329944277679138937178078	4132470b29d63e17a41b6888611a0d0c76ee31dd52e51cd8b1ab2ddc930e0e8c	29489167836107208160214687541358840398943094408520366776008348570539548085900	0x01	SIGHASH_ALL	1	1	0308957fe7395b07a5052cdec224d14045e04a4de0724bf6b000e35956f0ee5a22	9ab1b86f7371ded286e7f0ac90569d6e9882c75f	p2sh	legacy	0	True		1	445337	1482844774
004420da4279f251aba16ac73a03af7a7020706fcb31a56eb9dcfb6e6284d3d9	0	1	b97c7a6196c9290bf9205df94777b7b5c25dc0d5e376c4c09830937ac0736abb	2	452da340eab5c17414eb7b3e935595227731ac1322f7aa14d18f945253d1599a	31290221404969367851489376927800679923699519644412439223592399669448076777882	3143216b8dbf0e29547395223017d623d72f8ed232f36ee116bf61161a5fce9a	22281938991191570978541594463927926792021009858887089073433488048344474308250	0x01	SIGHASH_ALL	1	1	03c511b8fe3a5e60ad16bb14b0865f8a3f192ddb386c4f8d23f72edd24764e0e23	efb581a9340943a9c20d5d1112c499c41f129265	p2sh	legacy	0	True		1	445337	1482844774
004420da4279f251aba16ac73a03af7a7020706fcb31a56eb9dcfb6e6284d3d9	1	0	1e81c05012dd614ab2e455a41aea4f65113c373ca80f5aab1318c02c577e60e1	0	69851590bd49f9432eb395b14b19e38b56f7d13be9c6aa2112ee98bbd0198ee7	47727988599698552699377656523727521898994271635696878557044305590556565278439	28229212ca73cee05001a2ca4863efd7e443ef42920843cbe032ff398829314e	18153594905099515643504473746611710530563762864965564670647186198615921602894	0x01	SIGHASH_ALL	1	1	0308957fe7395b07a5052cdec224d14045e04a4de0724bf6b000e35956f0ee5a22	9ab1b86f7371ded286e7f0ac90569d6e9882c75f	p2sh	legacy	0	True		1	445337	1482844774
004420da4279f251aba16ac73a03af7a7020706fcb31a56eb9dcfb6e6284d3d9	1	1	1e81c05012dd614ab2e455a41aea4f65113c373ca80f5aab1318c02c577e60e1	0	cd445a596043850af5cb3ce7779710e3dda6e00d5e3dce8979a0db636ad66af9	92844903126718760271165300690534297658847699764155932375404975252187471309561	2d280c8ee6941a88d3d8b6905d1f104c970d81af4fb10cfe025ed9b03edad099	20424838742389464463797705419828337390870275038874628818447477369444801106073	0x01	SIGHASH_ALL	1	1	03c511b8fe3a5e60ad16bb14b0865f8a3f192ddb386c4f8d23f72edd24764e0e23	efb581a9340943a9c20d5d1112c499c41f129265	p2sh	legacy	0	True		1	445337	1482844774
005f68d60a4b419548fc68d5742c730aca0498952bfe9db6d2c12900b7a30b2c	0	0	edd671eb63b83e8e7cc840cc2b79442b48dfb1e9d12593c7320b640c965b4df6	4	dc0eeb176ce4d0969ea3ba9aaa177d8a82dba64c104ed88b407e9c165131426e	99535185089163628398240025780113767168039202151992076068748333817827075113582	16a76972e39c80bdc5284853e9956a9b0a9de97fa017a0069fddd6c0b535e3ba	10246673909420455557398345247820601832274588496377790603968478009827817546682	0x01	SIGHASH_ALL	1	1	03a391eb2bc9513491570298899ca0f094323cc2a0624daeed47b4598ae29b04d3	733f76bb85a899cf18f76e5aed993bf56072e80e	p2sh	legacy	0	True		1	438728	1479052975
005f68d60a4b419548fc68d5742c730aca0498952bfe9db6d2c12900b7a30b2c	0	1	edd671eb63b83e8e7cc840cc2b79442b48dfb1e9d12593c7320b640c965b4df6	4	2e40608c637d5a8614a6e2f63016eba412271e76bcebd32d435293f0325eb9f3	20920135599495380116144855552348537595124558072518127114841301358080469940723	23cea8cd89143237c1b448b04a90fd4f8d95f05dda0b8dc5600cad2377463875	16196085230370090523829314842216082431560697484985912800093435865129871095925	0x01	SIGHASH_ALL	1	1	03c511b8fe3a5e60ad16bb14b0865f8a3f192ddb386c4f8d23f72edd24764e0e23	efb581a9340943a9c20d5d1112c499c41f129265	p2sh	legacy	0	True		1	438728	1479052975
005f68d60a4b419548fc68d5742c730aca0498952bfe9db6d2c12900b7a30b2c	1	0	d7e12e198ab1111c505536eaa9b0a415eea99219e92009979c08ee7860a40aa1	0	5b40ee0cce03e639e6395129d881994603a84f4346eef42781b4c912efadc9e0	41275190394068890270385739946967244332287022757462624696309907006547504777696	39c4298360c3f7b8b8d904b935f2520210972d0a0e1d144c4e77dcd8a1c11dd6	26128420907486575696293904477003743970187953565806900995783022771116313746902	0x01	SIGHASH_ALL	1	1	03a391eb2bc9513491570298899ca0f094323cc2a0624daeed47b4598ae29b04d3	733f76bb85a899cf18f76e5aed993bf56072e80e	p2sh	legacy	0	True		1	438728	1479052975
005f68d60a4b419548fc68d5742c730aca0498952bfe9db6d2c12900b7a30b2c	1	1	d7e12e198ab1111c505536eaa9b0a415eea99219e92009979c08ee7860a40aa1	0	4e83f40ad668c0e7e243f9edd5fcdff70727ac48140cd68d685bed6d6f2604fb	35513543473268753732589831115845455761856647099671630456592068399771129611515	4700a3aee91c9aa3d137824ad4cbf8cdce193ea263f64dc3b5437697a2265994	32115341949646691508046144996428571581019399837262229816763377327507358767508	0x01	SIGHASH_ALL	1	1	03c511b8fe3a5e60ad16bb14b0865f8a3f192ddb386c4f8d23f72edd24764e0e23	efb581a9340943a9c20d5d1112c499c41f129265	p2sh	legacy	0	True		1	438728	1479052975
00669dbad129925e48cdeb5f81196d3b267d773e39975d1fd3c641692d52ece1	0	0	e5cd2695e2965a5966a830d09bbb15926adb06461ea9c6020bac1fdcbaad7076	2	2a32c6a33833233c2a087b7f46f46d0560e08d0987033d77b5e9592c66c8e634	19086852939902603942376328692402225755988821781564451597619518016819363898932	5d96c3167891f349d5c5bf9081a5a9cf598d00ed34a501043c6d956cd80bf186	42331468424314498095253889850907560566559915839197817007502742404641002877318	0x01	SIGHASH_ALL	1	1	03bbe671d87d8517f8d075d378c004161a75b79d89c4ec6eb40610a496e01c9a0f	c4a1e66addbb50db599dd25f537f4c3998ee4233	p2sh	legacy	0	True		1	445587	1482975933
00669dbad129925e48cdeb5f81196d3b267d773e39975d1fd3c641692d52ece1	0	1	e5cd2695e2965a5966a830d09bbb15926adb06461ea9c6020bac1fdcbaad7076	2	284b4db4c38d8a282072b2065481cfd1a1db66c9165e85f0cbdec571441603b7	18225563781042260240522533666242623288077088854120813618168730772783016313783	136c234a836231d282629cc34627abac6fee65cc2ef5f846b8f136e5fd1f1811	8785007176072623057155990234806181488236013050330394664935582914081693046801	0x01	SIGHASH_ALL	1	1	03c511b8fe3a5e60ad16bb14b0865f8a3f192ddb386c4f8d23f72edd24764e0e23	efb581a9340943a9c20d5d1112c499c41f129265	p2sh	legacy	0	True		1	445587	1482975933
